locale_id,wv_article_revision_id,locale_name,wv_article_id,article_text_size,wv_revision_timestamp,wv_article_revision_parent_id,is_itinerary,wv_article_rating
00202fc138ffac84,3491039,belovezhskaya pushcha national park,3356,5126,2018-05-13T10:04:50Z,3413249,FALSE,outlinepark
00d57f8bb75ac358,4280912,salamanca (province),30724,3141,2021-08-21T19:41:03Z,4235362,FALSE,extraregion
014c0ef0398e6111,4785723,firozpur,123767,1265,2023-12-09T15:27:00Z,3829766,FALSE,outlinecity
01df7d9ade0d183e,4270303,walker (arizona),38341,845,2021-08-08T05:51:27Z,3510760,FALSE,outlinecity
0240b240fbeac2f6,4859178,moreton bay,23006,6617,2024-04-05T00:01:48Z,4780390,FALSE,
0310e2f58297ff28,4376909,warmia masuria,38436,6476,2022-01-25T23:38:43Z,3779220,FALSE,outlineregion
0317a98cb6db9645,4873388,toyooka,36511,2663,2024-04-30T05:43:10Z,4873386,FALSE,outlinecity
03e10aa55d3189b6,4710979,sokoto state,190603,2176,2023-08-15T07:34:04Z,4473021,FALSE,outlineregion
0409719343fa4b4d,4754603,saint siméon,190037,25022,2023-10-20T03:49:15Z,4754565,FALSE,usablecity
049fb3f465b825fa,4777484,sterling rock falls,34124,2039,2023-11-25T05:32:57Z,4704551,FALSE,outlinecity
04bcd0cbc6eea7d2,4875838,heihe,14415,5070,2024-05-05T05:00:38Z,3709464,FALSE,outlinecity
0510d9dde6543a91,4293219,pyay,149737,13810,2021-09-14T09:03:54Z,4269268,FALSE,usablecity
05ab36d22dcf971e,4718913,mount shasta,23263,5482,2023-08-30T05:54:01Z,4583578,FALSE,outlinecity
064de666a58c0b45,4713498,cat tien national park,6289,14279,2023-08-20T04:53:53Z,4604616,FALSE,usablepark
074ede29bf19bc7c,3509750,são mateus,122797,2817,2018-05-14T05:49:55Z,3395489,FALSE,outlinecity
077390d9bff74538,4714788,ragueneau,194950,9800,2023-08-23T05:45:09Z,4714787,FALSE,usablecity
07b79ab9c3574f22,4718586,norden norddeich,24746,4713,2023-08-29T22:36:46Z,4162266,FALSE,usablecity
07c1493202b30493,4850326,barbuda,2749,8341,2024-03-21T23:04:51Z,4850322,FALSE,
081087637b16fee6,4757588,trail,36525,17756,2023-10-23T16:10:59Z,4757587,FALSE,usablecity
0818257aa5ea4d3a,3492254,dolores (guatemala),148447,1817,2018-05-13T10:54:36Z,3378524,FALSE,outlinecity
083ca4ecfce237e1,3485685,eftimie murgu,141966,2872,2018-05-06T10:42:53Z,3385360,FALSE,outlinecity
085a1e993bfc6ed9,3858115,ocna sibiului,25645,3103,2019-10-05T17:25:05Z,3858114,FALSE,outlinecity
085a48907c45e73d,4715811,fairview (alberta),175821,8132,2023-08-24T23:49:36Z,4715810,FALSE,usablecity
086fc2a55012e5cb,4110514,si racha,32896,6920,2020-12-07T05:52:09Z,4107230,FALSE,outlinecity
08cd920645a3c401,4874993,lecce,19333,23591,2024-05-03T07:29:56Z,4822261,FALSE,usablecity
08dbcc40caf0b878,4818795,guerrero,13623,15382,2024-01-31T16:25:49Z,4806043,FALSE,usableregion
092938d31fdb666b,4754381,guiyang,13646,40863,2023-10-19T17:47:41Z,4754286,FALSE,outlinecity
095ca67ee60232ff,4277028,graignamanagh,13134,11134,2021-08-15T08:59:27Z,4276546,FALSE,usablecity
0a56e195b97d2d8e,3780220,west frisian islands,39017,9837,2019-05-16T17:53:44Z,3510943,FALSE,usableregion
0a85d9565f1c9552,4601851,vaudreuil soulanges,193245,3227,2023-01-22T13:31:49Z,4557988,FALSE,outlineregion
0b514bcd41cb0728,4264417,central mountains (taiwan),6534,1208,2021-08-02T01:11:03Z,3759720,FALSE,extraregion
0be319b29ec13738,4776176,bulacan,5056,11277,2023-11-22T12:48:52Z,4776163,FALSE,outlineregion
0c5112cac69b9d05,4861918,north country,24909,12645,2024-04-08T22:33:28Z,4664979,FALSE,usableregion
0c8453861e0c0e4c,4861756,fredericksburg (ohio),12033,3334,2024-04-08T21:19:07Z,4342543,FALSE,usablecity
0c980d3580ab87ec,4706927,alagoas,488,4608,2023-08-06T13:18:21Z,4706925,FALSE,outlineregion
0d2dc677e8693643,4748957,calistoga,5628,22763,2023-10-12T12:42:39Z,4748953,FALSE,usablecity
0d345528d98bb80f,4590436,santa cruz la laguna,31385,7006,2023-01-03T22:22:02Z,4352946,FALSE,outlinecity
